mse linear regression,mse regression tree
0.005191243148285998,0.005259875496248118
0.0051752980214712545,0.005267457238453232
0.005184294004723586,0.00526870531913393
0.005177851759867718,0.005265371716367613
0.005179738558413265,0.005267658144273342
0.005177920196420389,0.005256022337532663
0.005182805966248366,0.005268679895857666
0.00517811634643557,0.005264384248322535
0.005175039782770224,0.005267668452656589
0.0051766140442435615,0.00526283256241432
0.005181202966660742,0.0052654836082728865
0.005180046432155608,0.005272406194437851
0.005175897414848875,0.005262758020944636
0.00518219708228102,0.00526916305837501
0.005181942506778202,0.0052664245519556535
0.005178670919446444,0.005262826087354989
0.005184690160754004,0.00527083842048664
0.005176817142192074,0.0052699816418671705
0.005180133949565634,0.005264179690623218
0.005183430036888673,0.005268014302182951
